id,season,year,name,full_name,url,status,category,prize,country,city
1670,1990-1991,1991,United States Amateur Championship,1991 United States Amateur Championship,https://cuetracker.net/tournaments/united-states-amateur-championship/1991/1670,Amateur,National Championship,0.0,United States,Oakbrook
1715,1990-1991,1991,Welsh Amateur Championship,1991 Welsh Amateur Championship,https://cuetracker.net/tournaments/welsh-amateur-championship/1991/1715,Amateur,National Championship,0.0,Wales,Unknown
667,1990-1991,1991,London Masters,1991 London Masters,https://cuetracker.net/tournaments/london-masters/1991/667,Professional,Invitational,75000.0,England,London
757,1992-1993,1992,Indian Masters,1992 Indian Masters,https://cuetracker.net/tournaments/indian-masters/1992/757,Professional,Invitational,5000.0,India,Delhi
478,1992-1993,1992,Strachan Challenge - Event 1,1992 Strachan Challenge - Event 1,https://cuetracker.net/tournaments/strachan-challenge-event-1/1992/478,Professional,Minor Ranking,24800.0,England,Aldershot
474,1992-1993,1992,World Matchplay,1992 World Matchplay,https://cuetracker.net/tournaments/world-matchplay/1992/474,Professional,Invitational,160000.0,England,Doncaster
2051,1992-1993,1992,Pakistan Amateur Championship,1992 Pakistan Amateur Championship,https://cuetracker.net/tournaments/pakistan-amateur-championship/1992/2051,Amateur,National Championship,0.0,Pakistan,Unknown
1131,1992-1993,1992,World Amateur Championship - Men,1992 World Amateur Championship - Men,https://cuetracker.net/tournaments/world-amateur-championship-men/1992/1131,Amateur,World Event,0.0,Malta,Bugibba
475,1992-1993,1992,UK Championship,1992 UK Championship,https://cuetracker.net/tournaments/uk-championship/1992/475,Professional,Ranking,336400.0,England,Preston
532,1992-1993,1992,Humo Masters,1992 Humo Masters,https://cuetracker.net/tournaments/humo-masters/1992/532,Professional,Non-ranking,58000.0,Belgium,Antwerp
480,1992-1993,1992,Benson and Hedges Championship,1992 Benson and Hedges Championship,https://cuetracker.net/tournaments/benson-and-hedges-championship/1992/480,Professional,Minor Ranking,5000.0,Scotland,Glasgow
481,1992-1993,1992,Grand Prix,1992 Grand Prix,https://cuetracker.net/tournaments/grand-prix/1992/481,Professional,Ranking,424700.0,England,Reading
482,1992-1993,1992,Dubai Classic,1992 Dubai Classic,https://cuetracker.net/tournaments/dubai-classic/1992/482,Professional,Ranking,223800.0,United Arab Emirates,Dubai
485,1992-1993,1992,Scottish Masters,1992 Scottish Masters,https://cuetracker.net/tournaments/scottish-masters/1992/485,Professional,Invitational,125000.0,Scotland,Motherwell
3294,1992-1993,1992,All-Ireland Amateur Championship,1992 All-Ireland Amateur Championship,https://cuetracker.net/tournaments/all-ireland-amateur-championship/1992/3294,Amateur,National Championship,0.0,Northern Ireland,Newry
531,1992-1993,1992,Kent Classic,1992 Kent Classic,https://cuetracker.net/tournaments/kent-classic/1992/531,Professional,Non-ranking,110000.0,China,Beijing
2052,1992-1993,1992,Finnish Amateur Championship,1992 Finnish Amateur Championship,https://cuetracker.net/tournaments/finnish-amateur-championship/1992/2052,Amateur,National Championship,0.0,Finland,Unknown
1192,1992-1993,1992,World Under-21 Championship - Men,1992 World Under-21 Championship - Men,https://cuetracker.net/tournaments/world-under-21-championship-men/1992/1192,Amateur,World Event,0.0,Brunei,Brunei
1250,1992-1993,1992,Asian Championship,1992 Asian Championship,https://cuetracker.net/tournaments/asian-championship/1992/1250,Amateur,Continental Event,0.0,Thailand,Bangkok
2568,1991-1992,1992,Pontins Spring Open,1992 Pontins Spring Open,https://cuetracker.net/tournaments/pontins-spring-open/1992/2568,Pro-am,Event,0.0,Wales,Prestatyn
572,1991-1992,1992,Irish Professional Championship,1992 Irish Professional Championship,https://cuetracker.net/tournaments/irish-professional-championship/1992/572,Professional,Non-ranking,3000.0,Ireland,Cork
581,1991-1992,1992,Pontins Professional,1992 Pontins Professional,https://cuetracker.net/tournaments/pontins-professional/1992/581,Professional,Non-ranking,12000.0,Wales,Prestatyn
487,1991-1992,1992,World Championship,1992 World Championship,https://cuetracker.net/tournaments/world-championship/1992/487,Professional,Ranking,946500.0,England,Sheffield
